id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
19,0,0,0,0.047000762,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64135516,0,0,0,0,0.2125728,0,0,0,0,0,0,0,0,0,0.09118538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0.02059127,0,0,0,0,0,0,0.02466895,0,0,0,0,0,0.03283932,0,0,0,0,0,0.1605573,0,0,0.11424342,0,0,0,0,0,0,0.15745284,0.01343521,0,0,0,0,0,0,0,0.08137799,0,0,0,0,0,0.053153414,0,0.33550918
21,0,0,0,0,0,0,0.04098806,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029800264,0,0,0.05444216,0,0,0,0,0.2008492,0,0,0.039013892,0,0,0.014758396,0.058596384,0,0,0,0,0,0.0915385,0.39806855,0.0121297045,0,0,0,0,0.054405686,0
22,0.05387783,0.5050553,0,0.14707366,0,0,0,0,0,0,0,0,0,0.0228949,0,0,0,0,0,0,0,0,0.17272155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046100687,0,0,0,0,0.010819198,0,0.033737052,0,0,0,0
23,0,0,0,0.10411709,0,0,0.20386231,0,0,0,0,0,0.10683794,0.040340748,0,0,0,0,0,0,0,0,0,0,0,0,0.063178,0,0,0,0,0,0.017779397,0,0,0,0,0,0,0,0.22466192,0.07345477,0.09597324,0.062175166,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0.0987265,0.052463796,0,0,0,0.82096046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014529344,0
25,0,0,0,0.042311814,0,0,0,0,0,0,0.014242929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93707025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33253613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56431735,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0.026192417,0,0,0.015020012,0,0,0,0,0,0,0,0,0,0,0,0,0.08031311,0,0,0,0,0,0,0,0,0,0,0.7616436,0.05342107,0.054129433,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32666165,0,0,0.34683517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29792506,0,0,0,0,0.52318996,0,0.1714544,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8366457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78694475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11678223,0,0.032467842,0,0.03734156,0,0,0,0,0,0,0.01960841,0,0,0
32,0.09029445,0,0,0.14550789,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25924274,0,0,0,0,0.06596146,0,0,0,0,0,0,0,0,0,0,0.2391142,0,0,0,0,0.04595961,0,0.12970771,0.014520442,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37532657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14425261,0,0,0,0,0,0,0,0,0.34610826
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04988814,0.1006926,0,0,0,0,0,0,0,0,0,0,0.7464772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.056012053,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045205873,0,0,0,0,0,0.0629866,0,0,0,0,0,0,0,0,0,0.014096506,0,0,0.11847085,0,0,0,0.7508994,0,0,0,0,0,0,0,0,0,0
36,0,0,0,0,0,0.053007733,0,0,0,0,0,0.055025164,0,0.11852389,0,0,0,0,0,0,0.07759989,0,0,0,0,0,0,0,0,0,0,0,0.62875897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,0,0.011690391,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09833213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87669355,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0.19590437,0,0,0,0,0,0,0,0.23692252,0.011986597,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17920959,0,0.027956473,0,0,0,0.118290514,0,0,0,0,0,0,0.10193891,0,0.121813886,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5300875,0,0,0,0,0,0,0,0.12838183,0,0,0,0,0,0.33470246,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76473534,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032455284,0,0.17130536,0,0,0,0,0,0,0,0,0.025233507,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5312128,0.010197878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34278676,0,0.040390432,0,0.06291288
42,0,0,0,0.2309023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03040895,0.05654152,0,0.14885789,0.07719844,0,0,0,0,0,0,0,0,0,0,0.079861596,0,0.19048814,0,0,0.06181635,0.058687497,0.05310062,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0.46201262,0,0,0,0,0,0,0.20490408,0,0,0,0,0,0,0,0.016061634,0,0.095161974,0,0,0,0,0,0,0,0.017076004,0,0,0,0,0,0,0,0,0,0,0.11394475,0,0,0,0,0.080656454,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7542367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14973314,0,0,0,0,0,0
45,0,0,0.6375617,0.088595405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017812716,0.2133681,0,0,0,0,0,0,0,0,0,0,0,0,0.018007215,0,0,0,0,0,0,0,0,0,0,0,0,0.011024698,0
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013320516,0.36456892,0,0,0,0,0,0,0,0,0,0.023302954,0,0,0,0.038560566,0,0,0,0,0,0.40207425,0.14688803,0,0,0,0,0,0,0,0,0
47,0,0,0,0.032261427,0,0,0.34211752,0,0,0,0,0,0,0,0,0.12589087,0,0,0,0,0,0.075833976,0,0,0,0,0,0,0.10041723,0,0,0.13550551,0,0,0,0.09454556,0,0.08746556,0,0,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28610182,0,0,0,0,0.07618539,0,0,0,0,0,0.6153202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0.019331688,0,0.010173565,0,0,0,0,0,0,0.026747027,0,0.04145703,0,0.6685935,0,0,0,0,0.10166485,0,0,0.06793337,0.019624127,0,0,0,0,0,0,0,0,0,0,0,0.014467995,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0.43422186,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19350003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20995967,0,0,0,0,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09256654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6247197,0,0,0,0.26879767
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07268632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2185443,0,0.037175376,0,0.042861428,0,0,0,0,0.57356805,0,0,0,0.047159694,0,0,0
53,0,0,0,0.18288797,0,0,0,0,0,0,0,0,0.17328283,0,0,0.016861472,0.062129438,0,0,0,0,0.022076314,0.20601395,0,0,0,0.053064167,0.2159227,0,0,0,0,0,0,0.028300075,0,0,0,0,0,0,0,0,0,0,0,0.013942498,0,0,0
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2642774,0.2775471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3641011,0,0,0,0,0,0
55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022082869,0,0,0,0,0,0,0,0,0,0,0,0,0.95709497,0,0,0,0,0,0,0,0,0,0
56,0,0,0,0.042343486,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75069857,0,0.04980264,0,0,0,0,0,0,0,0,0,0,0,0.08108074,0,0,0,0,0,0,0.06372668,0,0,0,0,0,0,0,0,0,0,0
57,0,0.08695669,0,0.10153586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52910227,0.18248244,0,0,0,0,0,0,0,0,0,0.04194567,0,0,0,0,0,0,0,0,0.03248313,0.013529933,0,0,0,0,0,0,0
58,0.015737444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13901718,0.29745284,0,0,0,0.014273959,0,0,0,0.1850386,0,0,0.19080068,0,0,0.021004964,0,0,0,0.110262446,0,0,0.011529622,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0.01460288,0,0,0,0,0,0,0,0,0.03580278,0,0,0,0,0,0,0,0,0,0.03982713,0,0,0,0,0,0.045125537,0,0,0,0,0,0,0,0,0.8558513,0,0,0,0,0,0,0,0,0
60,0,0,0,0.017494945,0,0,0,0,0,0,0,0,0,0,0,0.016739558,0,0,0,0,0,0.030319607,0.38223198,0,0.05976379,0,0,0,0,0,0,0,0.040283147,0,0,0.280676,0,0,0,0,0,0.16657001,0,0,0,0,0,0,0,0
61,0,0,0,0,0.022099517,0,0,0,0,0.13096082,0,0,0,0,0,0,0,0,0,0.021996895,0,0.035258774,0,0.021275848,0,0,0.051655572,0,0.05178283,0,0,0,0,0.13392554,0,0.19620587,0,0.014510514,0,0,0,0,0,0.0356686,0,0.22247092,0.042516258,0,0,0
62,0,0,0,0,0,0,0,0.09201948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22890265,0,0,0,0,0,0.36718184,0,0,0,0,0,0,0,0.22814515,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0.048553947,0,0,0.72042936,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015841603,0,0.13111281,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05512524,0.01628424,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0.41314527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21984759,0,0,0,0,0,0.08589504,0,0,0,0,0,0.20509152,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22452098,0,0,0,0,0,0,0,0.5834275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0.098074056,0,0.03074493,0,0,0,0,0,0.059366662,0,0,0,0,0.23103663,0,0,0,0,0.29773557,0,0,0,0,0,0,0,0,0,0.16526696,0,0.093827456,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149342595,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3458591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33407316
68,0,0,0,0.03055997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016078426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0708277,0.8241959,0,0,0,0,0,0,0.040376116
69,0,0,0,0,0,0,0,0,0,0,0,0.061281312,0,0,0,0,0,0.16820803,0,0,0,0,0,0,0,0.04846291,0,0,0.5708934,0,0,0,0,0,0,0,0,0,0.1013362,0,0,0,0,0,0,0.040923048,0,0,0,0
70,0,0,0,0,0,0,0.12952903,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11470262,0.016257027,0,0,0,0.01446097,0.50552416,0,0,0,0,0,0,0,0,0,0,0,0.20691966,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0.52379155,0,0,0.23531285,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03559986,0.12159696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06599452,0,0,0,0,0,0,0,0,0
72,0.014261579,0,0,0,0,0,0,0,0,0,0,0,0,0.15477861,0,0,0,0,0,0,0,0.29455817,0,0,0,0,0.41056055,0,0,0,0,0,0,0.08398519,0,0,0,0,0,0,0,0,0,0,0,0,0.018312583,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4978996,0,0,0,0,0,0,0,0.24783334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12918733,0,0,0,0
74,0,0,0,0,0,0.047332887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50781035,0,0,0,0,0.05034554,0,0,0,0,0.3876429,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13688983,0,0,0,0,0,0,0,0,0.61154324,0,0.10649626,0.13505583,0,0,0,0,0,0,0,0
76,0.3817407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017243842,0,0.13053085,0,0.14851046,0,0,0.2902279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019808821,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5505607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21799015,0,0,0,0,0,0.113903806
78,0.053233836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312204,0,0,0,0,0,0.327578,0,0,0,0,0,0.23479745,0,0,0,0,0.06281873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0.057216194,0,0,0,0,0.05198157,0,0,0,0,0,0,0,0,0,0,0,0.22818889,0,0,0,0,0,0,0,0.03225258,0.057644054,0.012672436,0.026231062,0.057532515,0,0.10381886,0.08289737,0,0,0.06337584,0.18245368,0,0,0,0,0,0,0,0,0.037541516
80,0,0,0.03162972,0.13400288,0,0,0.051682282,0,0,0,0.27858785,0,0,0,0,0,0,0.04567657,0,0,0,0,0,0,0,0,0,0,0,0.24923876,0,0,0,0,0.068362735,0,0,0,0,0,0,0.12959799,0,0,0,0,0,0,0,0
